,Unnamed: 0,likes_log,views_log,dislikes_log,comment_log,category_id_Autos & Vehicles,category_id_Comedy,category_id_Education,category_id_Entertainment,category_id_Film & Animation,category_id_Gaming,category_id_Howto & Style,category_id_Music,category_id_News & Politics,category_id_Nonprofits & Activism,category_id_People & Blogs,category_id_Pets & Animals,category_id_Science & Technology,category_id_Shows,category_id_Sports,category_id_Travel & Events,unpopular,popular
55,55,9.593696194496246,12.92490462922345,5.843544417031361,7.249925536717987,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,56,4.343805421853683,9.148145768383065,1.0986122886681098,2.6390573296152584,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
57,57,10.194999780568262,15.789357250976892,8.27715777243181,4.997212273764115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,58,9.323936878558722,12.6370430440467,5.017279836814924,6.68586094706836,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,59,8.144098463338523,12.047129667630633,5.717027701406223,5.945420608606575,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
60,60,5.602118820879701,11.42853247519274,4.143134726391533,5.393627546352363,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
61,61,9.935276875025536,12.035058913618881,4.4067192472642525,7.650168700845001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,62,7.055312843339753,12.70656910669531,5.25227342804663,6.075346031088683,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
63,63,10.976491392697485,13.858564300281769,6.3784261836515865,8.128585200374497,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
64,64,10.761492176138386,14.021001616784869,8.459564078579602,8.707648248106914,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,65,5.891644211825772,9.698736320775991,3.49650756146648,4.4543472962535064,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
66,66,7.911324018963352,14.076157964859492,6.2441669006637355,6.840546529288687,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
67,67,8.994420665751292,14.389029251068687,7.663407664893478,8.130647968160584,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
68,68,7.618251097876695,12.210915898025089,5.605802066295998,5.298317366548036,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69,69,5.996452088619021,9.376871242863816,2.8903717578961645,3.9318256327243257,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
70,70,9.41979059615839,12.936956265176516,6.1527326947041034,7.465655310134057,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
71,71,4.110873864173311,9.295875660082444,0.6931471805599453,3.2958368660043287,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
72,72,10.629343907505778,14.540353576066694,7.899153483343098,9.65937569478572,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
73,73,7.7869670026148725,12.518168023276992,4.804021044733257,5.575949103146316,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
74,74,5.5294290875114225,10.830480807543418,3.332204510175204,5.017279836814924,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
75,75,8.293299358711323,13.411600240542407,6.583409222158765,5.638354669333745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,76,6.882437470997847,11.830571597341391,4.343805421853683,6.539585955617668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
77,77,3.9889840465642745,9.143666238708189,1.0986122886681098,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
78,78,9.061492275239766,12.695517317100279,6.159095388491932,6.523562306149513,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,79,5.416100402204419,12.034768177133856,4.290459441148391,5.2094861528414205,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
80,80,8.49596955496461,14.662923983102186,6.846943139585379,6.100318952020063,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,81,2.302585092994046,7.001245622069477,0.0,2.079441541679836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
82,82,9.514953305087943,13.3776487997306,6.206575926724928,7.491645473605133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
83,83,8.811205187562887,11.544191546844225,4.23410650459726,5.846438775057725,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
84,84,6.6293632534374485,11.716853576559886,3.912023005428147,6.100318952020063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
85,85,9.47424191576256,12.788860727193628,5.2832037287379885,6.257667587882639,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
86,86,10.989234097996784,13.757545583647737,5.468060141135132,8.606851063346772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
